OBJECTID,PROJECTNAME,LOCATION,WARD,DEVELOPER,ARCHITECT,STATUS,UNITS,TYPE,SQFT,ESTVALUEINMILION,ESTDELIVERY,PROJECTTYPE
26,Martin Luther King Jr. Library,"9th & G Sts., NW",2,DC Public Library,Mecanoo / Martinez & Johnson,Pipeline (Near Term),,,425000,198,2020,HOSPITALITY
27,SLS Lux Hotel & Residences,"901 5th St., NW",6,Peebles Corporation / MacFarlane Partners,WDG Architecture,Pipeline (Near Term),198,,137950,135,2019,HOSPITALITY
28,555 E Street,"555 E St., SW",6,CityPartners / Potomac Investment Prop.,Fxfowle Architects,Pipeline (Near Term),190,,131500,120,2019,HOSPITALITY
29,Latham Hotel,"3000 M St., NW",2,Thor Equities,Shalom Baranes Associates,Pipeline (Near Term),82,,99555,,2019,HOSPITALITY
30,Press House at Union District,"301 N St., NE",6,Foulger-Pratt,AA Studio / Torti Gallas and Partners,Pipeline (Near Term),175,,80366,150,2019,HOSPITALITY
31,ShowPlace Icon,"N Pl. & 1 1/2 St., SE",6,Forest City Washington,RTKL Associates,Pipeline (Near Term),,,66400,,2018,HOSPITALITY
32,Beacon Center,"6100 Georgia Ave., NW",4,Community Builders / Emory United Methodist Church,"Torti Gallas Urban, Inc.",Pipeline (Near Term),,,58000,36,2018,HOSPITALITY
33,Lacebark Alley,"51 N St., 50 Patterson St. & 1250 1st St., NE",6,The JBG Companies / Brandywine Realty Trust,Shalom Baranes Associates / Cooper Carry / David M. Schwarz Architects,Pipeline (Near Term),,,33000,275,2018,HOSPITALITY
34,Cleveland Park Library,"3310 Connecticut Ave., NW",3,DC Public Library,Perkins Eastman DC,Pipeline (Near Term),,,26710,20,2018,HOSPITALITY
35,Capital View Library,"5001 Central Ave., SE",7,DC Public Library,R. McGhee & Associates,Pipeline (Near Term),,,20000,5,2017,HOSPITALITY
36,601 Massachusetts Avenue,"601 Massachusetts Ave., NW",6,Boston Properties,Duda Paine Architects,Completed,,,460500,150,Q3 15,OFFICE
37,National Square,"500 D St., SW",6,Trammell Crow Company,Gensler,Completed,,,342000,140,Q1 16,OFFICE
38,2001 M Street,"2001 M St., NW",2,Brookfield,Lehman-Smith McLeish,Completed,,,270000,,Q2 16,OFFICE
39,Department of the Interior (Phase VI),"1849 C St., NW",2,General Services Administration,Shalom Baranes Associates,Completed,,,221357,60,Q2 16,OFFICE
40,Republic Square (Phase II),"660 North Capitol St., NW",6,Republic Properties Corporation,Leo A Daly,Completed,,,197000,65,Q1 16,OFFICE
41,900 16th Street,"900 16th St., NW",2,The JBG Companies,Cooper Carry,Completed,,,120000,,Q2 16,OFFICE
42,1785 Massachusetts Avenue,"1785 Massachusetts Ave., NW",2,American Enterprise Institute,Hartman-Cox Architects,Completed,,,92000,46,Q2 16,OFFICE
43,MPD Sixth District Headquarters,"5002 Hayes St., NE",7,Department of General Services,Sorg & Associates,Completed,,,80000,25,Q3 15,OFFICE
44,LIUNA (addition),"905 16th St., NW",2,Laborers International Union of North America,Gensler,Completed,,,55505,,Q2 16,OFFICE
45,Manhattan Laundry,"1328 - 1346 Florida Ave., NW",1,Douglas Development Corporation,BLDG Architects,Completed,,,55000,,Q3 16,OFFICE
46,Midtown Center,"1150 15th St., NW",2,Carr Properties,WDG Architecture / SHoP,Under Construction,,,820000,375,Q2 18,OFFICE
47,655 New York Avenue,"655 New York Ave., NW",6,Douglas Development Corp. / Brookfield,Shalom Baranes Associates,Under Construction,,,653474,185,Q2 18,OFFICE
48,250 Massachusetts Avenue,"250 Massachusetts Ave., NW",2,Property Group Partners / Center Place Holdings,Kevin Roche John Dinkeloo & Associates LLC,Under Construction,,,516665,275,Q3 19,OFFICE
49,CFPB HQ Modernization,"1700 G St., NW",2,General Services Administration,RTKL Associates / SOM,Under Construction,,,503000,139,Q2 17,OFFICE
50,200 Massachusetts Avenue,"200 Massachusetts Ave., NW",2,Property Group Partners / Center Place Holdings,Kevin Roche John Dinkeloo & Associates LLC,Under Construction,,,381746,200,Q2 18,OFFICE
51,600 Massachusetts Avenue,"600 Massachusetts Ave., NW",2,Gould Property Company / Oxford Properties Group,CORE,Under Construction,,,381592,206,Q4 16,OFFICE
52,Harry S. Truman Building Modernization (Ph IC),"2201 C St., NW",2,General Services Administration,Westlake Reed Leskosky,Under Construction,,,290536,97,Q3 18,OFFICE
53,Center Building (DHS HQ),St. Elizabeths West Campus,8,General Services Administration,Shalom Baranes Associates,Under Construction,,,284000,155,Q3 17,OFFICE
54,One Freedom Plaza,"1301 Pennsylvania Ave., NW",2,Quadrangle Development,JAHN,Under Construction,,,270040,,Q1 19,OFFICE
55,2112 Pennsylvania Avenue,"2110 Pennsylvania Ave., NW",2,Skanska / GWU,Gensler,Under Construction,,,243500,125,Q4 17,OFFICE
56,44 & 88 M Street at Tyber Place,"44 & 88 M St., NE",6,Skanska USA,"Davis, Carter, Scott",Pipeline (Near Term),,,540100,200,,OFFICE
57,Four Constitution Square,"150 M St., NE",6,StonebridgeCarras / Walton Street Capital,HOK,Pipeline (Near Term),,,505000,250,2018,OFFICE
58,Lacebark Alley,"51 N St., 50 Patterson St. & 1250 1st St., NE",6,The JBG Companies / Brandywine Realty Trust,Shalom Baranes Associates / Cooper Carry,Pipeline (Near Term),,,366161,275,2018,OFFICE
59,2050 M Street,"2050 M St., NW",2,Tishman Speyer,REX Architecture PC,Pipeline (Near Term),,,359040,,2019,OFFICE
60,Anthem Row,"800 K St., NW",2,The Meridian Group,Hickok Cole Architects,Pipeline (Near Term),,,200000,,2017/2018,OFFICE
61,2100 L Street,"2100 L St., NW",2,Akridge / Argos Group,WDG Architecture / Jan Hendrix / Martinez & Johnson,Pipeline (Near Term),,,182000,147,2019,OFFICE
62,DC Water HQ,"125 O St., SE",6,DC Water,SmithGroupJJR,Pipeline (Near Term),,,151300,60,2017,OFFICE
63,1 M Street,"1 M St., SE",6,Monument Realty,HOK,Pipeline (Near Term),,,116000,,2018,OFFICE
64,1101 16th Street,"1101 16th St., NW",2,Akridge,HOK,Pipeline (Near Term),,,100000,95,2017/18,OFFICE
65,1701 Rhode Island Avenue,"1701 Rhode Island Ave., NW",2,Akridge,Hickok Cole Architects,Pipeline (Near Term),,,100000,88,2018,OFFICE
66,Hecht Warehouse District (Hecht Building),"1401 New York Ave., NE",5,Douglas Development Corp.,Antunovich Associates,Completed,,,201934,120,Q2 16,RETAIL
67,The Shops at Dakota Crossing  (Lowe's),"2425 Market St., NE",5,Ft. Lincoln New Town Corp. / Trammell Crow / CSG Urban Partners,Bignell Watkins Hasser Architects,Completed,,,130000,20,Q4 15,RETAIL
68,Fort Totten Square,"South Dakota Ave. & Riggs Rd., NE",4,Lowe Enterprises / The JBG Companies,Hickok Cole Architects,Completed,,,130000,120,Q3 15,RETAIL
69,Manhattan Laundry,"1328 - 1346 Florida Ave., NW",1,Douglas Development Corp.,BLDG Architects,Completed,,,30000,,Q3 16,RETAIL
70,The Shay,"1921 & 1924 8th St., NW",1,The JBG Companies,Miller Hull / BKV Group,Completed,,,28000,50,Q3 15,RETAIL
71,Arris,"1331 4th St., SE",6,Forest City Washington,Robert A M Stern Architects / WDG Architecture,Completed,,,20000,100,Q1 16,RETAIL
72,Atlantic Plumbing DC,"2112 8th St., NW",1,The JBG Companies / Walton Street Capital,"Morris Adjmi Architects / Eric Colbert & Associates, PC",Completed,,,19000,100,Q4 15,RETAIL
73,Dock 79,"100 Potomac Ave., SE",6,MRP Realty / FRP Development Corp.,MRP Realty / FRP Development Corp.,Completed,,,18650,100,Q3 16,RETAIL
74,601 Massachusetts Avenue,"601 Massachusetts Ave., NW",6,Boston Properties,Duda Paine Architects,Completed,,,18300,150,Q3 15,RETAIL
75,Tenley View,"4600 Wisconsin Ave., NW",3,Douglas Development Corp.,Shalom Baranes Associates,Completed,,,17400,,Q1 16,RETAIL
76,The Wharf (Ph I),Southwest Waterfront,6,Hoffman-Madison Waterfront,BBGM / Handel Architects / FOX Architects / Kohn Pedersen Fox & Associates / MTFA Architecture / SK+I Architectural Design Group / SmithGroupJJR / WDG Architecture / Perkins Eastman DC,Under Construction,,,190000,1200,Q4 17,RETAIL
77,The Shops at Dakota Crossing  (Ph III),"New York & South Dakota Aves., NE",5,Ft. Lincoln New Town Corp. / Trammell Crow / CSG Urban Partners,Bignell Watkins Hasser Architects,Under Construction,,,135000,60,Q1 17,RETAIL
78,ART Place at Fort Totten (Ph I),"5180 South Dakota Ave., NE",5,Morris & Gwendolyn Cafritz Foundation,EE&K / MV+A Architects / Shalom Baranes Associates,Under Construction,,,104701,125,Q2 17,RETAIL
79,Hecht Warehouse District (Pappas Building),"1401 Okie St., NE",5,Douglas Development Corp.,Antunovich Associates,Under Construction,,,95335,9,Q2 17,RETAIL
80,655 New York Avenue,"655 New York Ave., NW",6,Douglas Development Corp. / Brookfield,Shalom Baranes Associates,Under Construction,,,80551,185,Q2 18,RETAIL
81,Uline Arena,"1140 3rd St., NE",6,Douglas Development Corp.,Antunovich Associates,Under Construction,,,73074,125,Q4 16,RETAIL
82,700 Penn,"700 Pennsylvania Ave., SE",6,Stanton Development / Eastbanc / Dantes Partners,Esocoff & Associates Architects,Under Construction,,,60000,227,Q3 17,RETAIL
83,Apollo,"610 H St., NE",6,Insight Property Group,SK+I Architectural Design Group,Under Construction,,,59000,195,Q4 16,RETAIL
84,Midtown Center,"1150 15th St., NW",2,Carr Properties,WDG Architecture / SHoP,Under Construction,,,40000,375,Q2 18,RETAIL
85,Agora,"800 New Jersey Ave., SE",6,WC Smith,SK+I Architectural Design Group,Under Construction,,,39000,141,Q2 17,RETAIL
86,Capitol Gateway Marketplace,"58th & East Capitol Sts., NE",7,A&R Development /  DC Housing Authority,Bowman / Lessard Design,Pipeline (Near Term),,,162200,100,2018/19,RETAIL
87,McMillan Sand Filtration Site,"North Capitol St. & Michigan Ave., NW",5,Jair Lynch Real Estate Partners / Trammell Crow Company / EYA / DMPED,Perkins Eastman DC / MV+A Architects / Shalom Baranes Associates,Pipeline (Near Term),,,125000,720,2019,RETAIL
88,Skyland Town Center (Phase I),"Alabama Ave. & Naylor Rd., SE",7,Rappaport / WC Smith / Harrison-Malone / Washington East Foundation / DMPED,Torti Gallas and Partners,Pipeline (Near Term),,,100419,150,2019,RETAIL
89,Anthem Row,"800 K St., NW",2,The Meridian Group,Hickok Cole Architects,Pipeline (Near Term),,,70000,,2017,RETAIL
90,Ballpark East,"1201 Half St., SE",6,The JBG Companies,"Eric Colbert & Associates, PC / ODA Architecture",Pipeline (Near Term),,,61000,,2017/18,RETAIL
91,The Griffith,"965 Florida Ave., NW",1,MRP Realty / Ellis Development Group /  Fundrise / JBG,Hord Coplan Macht Inc / PGN Architects PLLC,Pipeline (Near Term),,,51540,120,2020,RETAIL
92,901 H Street,"901 H St., NE",6,Rappaport / WC Smith / Lustine Realty Co.,Torti Gallas and Partners,Pipeline (Near Term),,,51500,150,2019,RETAIL
93,Half Street,"Half & N Sts., SE",6,Jair Lynch Real Estate Partners / MacFarlane Partners,R.D. Jones & Associates / Hord Coplan Macht Inc,Pipeline (Near Term),,,50000,152,2018,RETAIL
94,Lacebark Alley,"51 N St., 50 Patterson St. & 1250 1st St., NE",6,The JBG Companies /  Brandywine Realty Trust,Shalom Baranes Associates / Cooper Carry,Pipeline (Near Term),,,30000,275,2018,RETAIL
95,3220 Prospect,"3220 Prospect St., NW",2,McCaffery Interests,N/A,Pipeline (Near Term),,,28246,,2018,RETAIL
96,Park Chelsea,"880 New Jersey Ave., SE",6,WC Smith,Esocoff & Associates Architects,Completed,429,R,,150,Q1 16,RESIDENTIAL
97,Hecht Warehouse District,"1401 New York Ave., NE",5,Douglas Development Corp.,Antunovich Associates,Completed,353,R,,120,Q2 16,RESIDENTIAL
98,Fort Totten Square,"South Dakota Ave. & Riggs Rd., NE",4,Lowe Enterprises / The JBG Companies,Hickok Cole Architects,Completed,345,R,,120,Q3 15,RESIDENTIAL
99,Arris,"1331 4th St., SE",6,Forest City Washington,Robert A M Stern Architects / WDG Architecture,Completed,327,R,,100,Q1 16,RESIDENTIAL
100,Atlantic Plumbing DC,"2112 8th St., NW",1,The JBG Companies / Walton Street Capital,"Morris Adjmi Architects / Eric Colbert & Associates, PC",Completed,310,R,,100,Q4 15,RESIDENTIAL
101,Anthology,"625 H St., NE",6,Jair Lynch Real Estate Partners,Hord Coplan Macht Inc,Completed,307,R,,100,Q2 16,RESIDENTIAL
102,Dock 79,"100 Potomac Ave., SE",6,MRP Realty / FRP Development Corp.,SK+I Architectural Design Group,Completed,305,R,,100,Q3 16,RESIDENTIAL
103,Park Van Ness,"4455 Connecticut Ave., NW",3,"Saul Centers, Inc.",Torti Gallas and Partners,Completed,271,R,,75,Q2 16,RESIDENTIAL
104,5333 Connecticut Avenue,"5333 Connecticut Ave., NW",3,Cafritz Interests,"Eric Colbert & Associates, PC",Completed,262,R,,61,Q2 16,RESIDENTIAL
105,The Shay,"1921 & 1924 8th St., NW",1,The JBG Companies,Miller Hull / BKV Group,Completed,242,R,,50,Q3 15,RESIDENTIAL
106,The Wharf (Ph I),Southwest Waterfront,6,Hoffman-Madison Waterfront,BBGM / Handel Architects / FOX Architects / Kohn Pedersen Fox & Associates / MTFA Architecture / SK+I Architectural Design Group / SmithGroupJJR / WDG Architecture / Perkins Eastman DC,Under Construction,870,R / O,,1200,Q4 17,RESIDENTIAL
107,ART Place at Fort Totten (Ph I),"5180 South Dakota Ave., NE",5,Morris & Gwendolyn Cafritz Foundation,EE&K / MV+A Architects / Shalom Baranes Associates,Under Construction,520,R,,125,Q2 17,RESIDENTIAL
108,AVA NoMa,"55 M St., NE",6,AvalonBay,"KTGY Group, Inc",Under Construction,438,R,,145,Q1 17,RESIDENTIAL
109,Apollo,"610 H St., NE",6,Insight Property Group,SK+I Architectural Design Group,Under Construction,431,R,,195,Q4 16,RESIDENTIAL
110,Shapiro Residences,"1270 4th St., NE",5,Level 2 Development / EDENS,Shalom Baranes Associates,Under Construction,430,R,,150,Q4 18,RESIDENTIAL
111,Camden NoMa (Ph II),"61 Pierce St., NE",6,Camden Property Trust,WDG Architecture,Under Construction,405,R,,130,Q1 17,RESIDENTIAL
112,909 Half Street,"20 K St., SE",6,Ruben Companies / Related Companies,"Davis, Carter, Scott / Morris Adjmi Architects",Under Construction,383,R,,100,Q1 17,RESIDENTIAL
113,Eliot on 4th,"1001 4th St., SW",6,Forest City Washington / Vornado Realty Trust,Perkins Eastman DC,Under Construction,365,R,,100,Q1 17,RESIDENTIAL
114,33 N Street,"33 N St., NE",6,Wood Partners,Hickok Cole Architects,Under Construction,346,R,,150,Q1 18,RESIDENTIAL
115,Agora,"800 New Jersey Ave., SE",6,WC Smith,SK+I Architectural Design Group,Under Construction,334,R,,141,Q2 17,RESIDENTIAL
116,McMillan Sand Filtration Site,"North Capitol St. & Michigan Ave., NW",5,Jair Lynch Real Estate Partners / Trammell Crow Company / EYA / DMPED,Perkins Eastman DC / MV+A Architects / Shalom Baranes Associates,Pipeline (Near Term),660,R / O,,720,2018/19,RESIDENTIAL
117,Ballpark East,"1201 Half St., SE",6,The JBG Companies,"Eric Colbert & Associates, PC / ODA Architecture",Pipeline (Near Term),438,R / O,,0,2019,RESIDENTIAL
118,The Griffith,"965 Florida Ave., NW",1,MRP Realty / Ellis Development Group /  Fundrise / JBG,Hord Coplan Macht Inc / PGN Architects PLLC,Pipeline (Near Term),428,R,,120,2020,RESIDENTIAL
119,300 M,"300 M St., NE",6,The Wilkes Company,WDG Architecture / Hickok Cole Architects,Pipeline (Near Term),425,R,,132,2018,RESIDENTIAL
120,901 H Street,"901 H St., NE",6,Rappaport / WC Smith / Lustine Realty Co.,Torti Gallas and Partners,Pipeline (Near Term),419,R,,150,2019,RESIDENTIAL
121,The Portals (Ph V),"1331 Maryland Ave., SW",6,Republic Properties Corporation,Robert A M Stern Architects / WDG Architecture,Pipeline (Near Term),393,R,,185,2019,RESIDENTIAL
122,Press House at Union District,"301 N St., NE",6,Foulger-Pratt,AA Studio / Torti Gallas and Partners,Pipeline (Near Term),372,R,,150,2019,RESIDENTIAL
123,RESA at Tyber Place,"22 M St., NE",6,Skanska,"Design Collective, Inc",Pipeline (Near Term),326,R,,75,2018,RESIDENTIAL
124,Reservation 13 (Ph I),"19th & Massachusetts Ave., SE",7,Donatelli Development / Blue Skye Development & Construction,GTM Architects,Pipeline (Near Term),353,R,,80,2019,RESIDENTIAL
125,Highline at Union Market,"320 Florida Ave., NE",5,Level 2 Development /  Clark Enterprises,"Eric Colbert & Associates, PC",Pipeline (Near Term),317,R,,101,2019,RESIDENTIAL
126,Washington College of Law,"Tenley Campus (4300 Nebraska Ave., NW)",3,American University,SmithGroupJJR,Completed,,,385100,129,Q4 15,EDUCATION
127,Ballou Senior High School,"3401 4th St., SE",8,DC Public Schools / Department of General Services,Bowie Gridley Architects / Perkins+Will,Completed,,,365000,143,Q3 15,EDUCATION
128,Theodore Roosevelt High School,"4301 13th St., NW",4,DC Public Schools / Department of General Services,Perkins Eastman DC,Completed,,,328000,136,Q4 15,EDUCATION
129,District House,"2121 H St., NW",2,George Washington University,Ayers Saint Gross,Completed,,,322500,130,Q3 16,EDUCATION
1,Murch Elementary School,"4810 36th St., NW",3,DC Public Schools / Department of General Services,R. McGhee & Associates / Hord Coplan Macht Inc,Pipeline (Near Term),,,112700,83,2018,EDUCATION
2,Garrison Elementary School,"1200 S St., NW",2,DC Public Schools / Department of General Services,Newman Architects / BELL Architects,Pipeline (Near Term),,,60200,24,2017,EDUCATION
3,Fillmore School,"1801 35th St., NW",2,S&R Foundation,Barnes Vanze Architects,Pipeline (Near Term),,,37426,,2018,EDUCATION
4,Hyde-Addison Elementary School Addition,"3246 P St., NW",2,DC Public Schools / Department of General Services,BLOC Atlantic / Shinberg Levinas,Pipeline (Near Term),,,30100,22,2018,EDUCATION
5,Eagle Center (Phase III),"3400 Wheeler Rd., SE",8,Eagle Academy Public Charter School,Shinberg Levinas,Pipeline (Near Term),,,20000,,,EDUCATION
6,The Watergate,"2650 Virginia Ave., NW",2,Euro Capital Properties,BBGM,Completed,336,,277000,125,Q2 16,HOSPITALITY
7,Hyatt Place DC Capitol / National Mall,"400 E St., SW",6,DC Strategy Group / Paramount /  CityPartners / Potomac Investment Prop.,WDG Arhictecture / Nelson Architects,Completed,214,,170665,65,Q4 15,HOSPITALITY
8,Homewood Suites & Hampton Inn,"501 New York Ave., NE",5,Baywood Hotels,BBGM,Completed,230,,160000,,Q3 16,HOSPITALITY
9,Hyatt Place Hotel,"2121 M St., NW",2,Renaissance Centro,"Jonathan Nehmer + Associates, Inc. ",Completed,168,,109000,37,Q2 16,HOSPITALITY
10,Homewood Suites,"465 New York Ave., NW",2,"Magna Hospitality / IBG Partners, LLC",BBGM,Completed,160,,103000,,Q2 16,HOSPITALITY
11,"Hampton Inn & Suites Washington, DC Ballpark","1265 1st St., SE",6,Buccini Pollin Group,BBGM,Completed,168,,98000,,Q4 15,HOSPITALITY
12,Renwick Gallery,"1661 Pennsylvania Ave., NW",2,Smithsonian,Westlake Reed Leskosky,Completed,,,34000,30,Q4 15,HOSPITALITY
13,Capitol Quarter Community Building,"1000 5th St., SE",6,DC Housing Authority,Torti Gallas and Partners,Completed,,,21000,11,Q2 16,HOSPITALITY
14,Ridge Road Recreation Center,"800 Ridge Rd., SE",7,Department of Parks and Recreation,cox graae + spack architects,Completed,,,18000,16,Q2 16,HOSPITALITY
15,900 16th Street,"900 16th St., NW",2,The JBG Companies,Cooper Carry,Completed,,,11722,,Q2 16,HOSPITALITY
16,The Wharf (Ph I),Southwest Waterfront,6,Hoffman-Madison Waterfront,BBGM / Handel Architects / FOX Architects / Kohn Pedersen Fox & Associates / MTFA Architecture / SK+I Architectural Design Group / SmithGroupJJR / WDG Architecture / Perkins Eastman DC,Under Construction,690,,645500,1200,Q4 17,HOSPITALITY
17,"Trump International Hotel, The Old Post Office","1100 Pennsylvania Ave., NW",2,Trump Hotel Collection,WDG Arhictecture / Beyer Blinder Belle Architects & Planners LLP,Under Construction,263,,536000,200,Q3 16,HOSPITALITY
18,Museum of the Bible,"300 D St., SW",6,Museum of the Bible,SmithGroupJJR,Under Construction,,,430000,400,Q4 17,HOSPITALITY
19,National Museum of African-American History & Culture,The National Mall,2,Smithsonian Institution,Davis Brody Bond Aedas LLP / Adjaye Associates / SmithGroupJJR / Freelon Group  ,Under Construction,,,400000,385,Q3 16,HOSPITALITY
20,CityCenterDC (Conrad Hotel),"950 New York Ave., NW",2,Hines / Qatari Diar,Herzog & de Meuron / HKS PC,Under Construction,360,,382000,270,Q1 19,HOSPITALITY
21,D.C. United Stadium,"100 Potomac Ave., SW",6,DC Government / D.C. United,Populous / Marshall | Moya Design,Under Construction,,,358126,287,Q2 18,HOSPITALITY
22,Columbia Place,"901 L St., NW",2,Capstone Development / Marriott / Quadrangle Development,Cooper Carry,Under Construction,504,,350000,225,Q3 18,HOSPITALITY
23,The Line DC,"1780 Columbia Rd., NW",1,Sydell Group / Foxhall Partners / Friedman Capital Advisors,OPX,Under Construction,227,,176671,100,Q1 17,HOSPITALITY
24,International Spy Museum,"900 L'Enfant Plaza, SW",6,The JBG Companies / International Spy Museum,Hickok Cole Architects / Rogers Stirk Harbour + Partners,Under Construction,,,140000,162,Q3 18,HOSPITALITY
25,Homewood Suites,"50 M St., SE",6,Englewood LLC / C/G Investments,Cooper Carry,Under Construction,195,,135200,60,Q4 16,HOSPITALITY
154,Eaton by DC,"1201 K Street, NW",2,Pacific Eagle Holdings,N/A,Completed,209,,172000,N/A,Q3 18,HOSPITALITY
155,The Line DC,"1770 Euclid Street, NW",1,Foxhall Partners / Friedman Capital Advidors / Sydell Group,OPX,Completed,227,,172041,100,Q4 17,HOSPITALITY
156,Corcoran Gallery of Art,"500 17th Street, NW",2,George Washington University,Leo A Daly,Completed,,,35000,80,Q3 18,HOSPITALITY
157,The Darcy,"1515 Rhode Island Avenue, NW",2,KHP Capital Partners,N/A,Completed,226,,87600,N/A,Q2 17,HOSPITALITY
158,F1rst,"1st & N Streets, SE",6,McCaffery Interests / Grosvenor Americas / Clark Enterprises Inc.,Hickok Cole Architects ,Completed,170,,127200,150,Q2 17,HOSPITALITY
159,Pod Hotel,"627 - 631 H Street, NW",2,Modus Hotels / Monument Realty / Cafritz Interests,"Davis, Carter, Scott",Completed,245,,61400,60,Q1 17,HOSPITALITY
160,Hotel Hive,"2224 F St., NW",2,Abdo Development,Abdo Development / Akseizer Design Group,Completed,83,,25000,N/A,Q1 17,HOSPITALITY
161,CityCenterDC (Conrad Hotel),"950 New York Avenue, NW",2,Hines / Qatari Diar,Herzog & de Meuron / HKS PC,Under Construction,360,,358000,270,Q1 19,HOSPITALITY
162,Columbia Place,"901 L Street, NW",2,Quadrangle Dev. / Capstone Dev. / Marriott,Cooper Carry,Under Construction,504,,350000,225,Q4 18,HOSPITALITY
163,W Hotel,"515 15th Street, NW",2,Marriott,Perkins Eastman DC / Studio GAIA,Under Construction,325,,187000,50,Q1 19,HOSPITALITY
