OBJECTID,PROJECTNAME,LOCATION,WARD,DEVELOPER,ARCHITECT,STATUS,UNITS,TYPE,SQFT,ESTVALUEINMILION,ESTDELIVERY,PROJECTTYPE
164,International Spy Museum,"900 L'Enfant Plaza, SW",6,JBG Smith,Hickok Cole Architects / Rogers Stirk Harbour + Partners,Under Construction,,,140000,162,Q1 19,HOSPITALITY
165,555 E Street,"555 E Street, SW",6,CityPartners / Potomac Investment Properties / Adams Investment Group / Paramount Dev. / DC Strategy Group,Fxfowle Architects,Under Construction,252,,130000,120,Q2 20,HOSPITALITY
166,AC Hotel,"1112 19th Street, NW",2,OTO Development,WDG Architecture,Under Construction,219,,125650,41,Q4 19,HOSPITALITY
167,Entertainment and Sports Arena,"110 Oak Drive, SE",8,Events DC / DC Government,Michael Marshall Design / ROSSETTI,Under Construction,,,116500,68,Q4 18,HOSPITALITY
168,Thompson D.C. Hotel,"227 Tingey Street, SE",6,Forest City / JW Capital Partners / Geolo Capital,Studios Architecture,Under Construction,225,,114800,N/A,Q4 20,HOSPITALITY
169,Moxy Hotel,"1011 K St., NW",2,Douglas Development Corporation,FILLAT + Architecture ,Under Construction,200,,64988,35,Q4 18,HOSPITALITY
170,The Reach,"2700 F Street, NW",2,John F. Kennedy Center for the Performing Arts,Steven Holl Architects,Under Construction,,,72000,175,Q3 19,HOSPITALITY
171,National Air and Space Museum,The National Mall,2,Smithsonian,Quinn Evans Architects,Pipeline (Near Term),,,687000,976,2025,HOSPITALITY
172,Storey Park,"1005 1st Street, NE",6,Perseus Realty / Four Points / Greencourt Capital,HKS PC,Pipeline (Near Term),235,,184436,330,2021,HOSPITALITY
173,Armature Works,"1200 3rd Street, NE",6,Trammell Crow Company / High Street Residential,Shalom Baranes Associates / Leo A Daly,Pipeline (Near Term),204,,147000,N/A,2021,HOSPITALITY
174,SLS Lux Hotel & Residences,"901 5th Street, NW",6,Peebles Corporation / MacFarlane Partners,WDG Architecture,Pipeline (Near Term),175,,142500,135,2020,HOSPITALITY
175,411 New York Avenue,"411 New York Avenue, NE",5,Brook Rose Development / D.B. Lee Development Inc.,BBGM,Pipeline (Near Term),178,,111440,N/A,N/A,HOSPITALITY
176,3900 Wisconsin Avenue,"3900 Wisconsin Avenue, NW",3,Roadside Development / Sekisui House,Shalom Baranes Associates,Pipeline (Near Term),150,,100000,N/A,2022,HOSPITALITY
177,601 K Street,"601 K Street, NW",6,Douglas Development Corporation,FILLAT + Architecture ,Pipeline (Near Term),234,,96755,47,2020,HOSPITALITY
178,Cambria Hotel & Suites,"1535 Half St., SW",6,Donohoe Companies ,BBGM,Pipeline (Near Term),154,,81000,N/A,2022,HOSPITALITY
179,Press House at Union District,"301 N Street, NE",6,Foulger-Pratt,AA Studio / Torti Gallas and Partners,Pipeline (Near Term),175,,80366,180,2020,HOSPITALITY
180,The Wharf (Phase II),Southwest Waterfront,6,Hoffman-Madison Waterfront,ODA Architecture / WDG Architecture / Rafael Vinoly Architects PC / Morris Adjmi Architects / Studios Architecture / Hollwich Kushner / Perkins Eastman DC / SHoP,Pipeline (Near Term),116,,80000,1200,2022,HOSPITALITY
181,Midtown Center,"1150 15th Street, NW",2,Carr Properties,WDG Architecture / SHoP,Completed,,,821000,350,Q2 18,OFFICE
182,Alexander Court,"2001 K Street, NW",2,Rockrose Development,FOX Architects / Pelli Clark Pelli Architects,Completed,,,780000,,Q2 18,OFFICE
183,The Wharf (Phase I),Southwest Waterfront,6,Hoffman-Madison Waterfront,BBGM / Handel Architects / FOX Architects / Kohn Pedersen Fox & Associates / MTFA Architecture / SK+I Architectural Design Group / SmithGroupJJR / WDG Architecture / Perkins Eastman DC,Completed,,,500000,1326,Q4 17,OFFICE
184,Consumer Financial Protection Bureau HQ Modernization,"1700 G Street, NW",2,General Services Administration,RTKL Associates / SOM,Completed,,,481404,139,Q4 17,OFFICE
185,200 Massachusetts Avenue,"200 Massachusetts Avenue, NW",2,Property Group Partners,Kevin Roche John Dinkeloo & Associates LLC,Completed,,,381746,200,Q2 18,OFFICE
186,2112 Pennsylvania Avenue,"2112 Pennsylvania Avenue, NW",2,Skanska USA,Gensler,Completed,,,230000,126,Q2 18,OFFICE
187,99 M Street,"1st & M Street, SE",6,Skanska USA,Gensler,Completed,,,220000,116,Q2 18,OFFICE
188,700 Penn,"700 Pennsylvania Avenue, SE",6,Stanton Development / Eastbanc / Jarvis Company / Dantes Partners / Clark Enterprises,Esocoff & Associates Architects,Completed,,,150000,226.7,Q4 17,OFFICE
189,U.S. Department of Commerce - Herbert Hoover Building (Ph IV),"1401 Constitution Avenue, NW",2,General Services Administration,Gensler,Completed,,,109825,83,Q3 18,OFFICE
190,901 4th Street,"901 4th Street, NW",6,The Bar Association of the District of Columbia,Hartman-Cox Architects,Completed,,,89700,70,Q1 18,OFFICE
191,655 New York Avenue,"655 New York Avenue, NW",6,Douglas Development Corporation / Brookfield Office Properties,Shalom Baranes Associates,Under Construction,,,653474,185,Q4 18,OFFICE
192,Sentinel Square (Phase III),"45 L Street, NE",6,Trammell Crow Company,SmithGroupJJR,Under Construction,,,545000,250,Q1 20,OFFICE
193,250 Massachusetts Avenue,"250 Massachusetts Avenue, NW",2,Property Group Partners,REX Architecture PC,Under Construction,,,507764,275,Q3 19,OFFICE
194,Four Constitution Square,"150 M Street, NE",6,"StonebridgeCarras, LLC",HOK,Under Construction,,,505000,250,Q2 19,OFFICE
195,2050 M Street,"2050 M Street, NW",2,Tishman Speyer,Kevin Roche John Dinkeloo & Associates LLC,Under Construction,,,353200,,Q4 19,OFFICE
196,Harry S. Truman Building Modernization (Ph IC),"2201 C St., NW",2,,,Under Construction,,,290536,97,Q3 18,OFFICE
197,Center Building (DHS HQ),St. Elizabeths West Campus,8,General Services Administration,Shalom Baranes Associates,Under Construction,,,284000,155,Q2 19,OFFICE
198,One Freedom Plaza,"1301 Pennsylvania Avenue, NW",2,Quadrangle Development,JAHN,Under Construction,,,270040,0,Q2 19,OFFICE
199,1900 N,"1900 N Street, NW",2,JBG Smith,Kohn Pedersen Fox & Associates,Under Construction,,,259000,225,Q2 20,OFFICE
200,L'Enfant Plaza Office - Southeast,"500 L'Enfant Plaza, SW",6,JBG Smith,JAHN,Under Construction,,,215185,75,Q3 19,OFFICE
201,The Wharf (Phase II),Southwest Waterfront,6,Hoffman-Madison Waterfront,ODA Architecture / WDG Architecture / Rafael Vinoly Architects PC / Morris Adjmi Architects / Studios Architecture / Hollwich Kushner / Perkins Eastman DC / SHoP,Pipeline (Near Term),,,547504,1200,2022,OFFICE
202,2100 Pennsylvania Avenue,"2100 Pennsylvania Avenue, NW",2,Boston Properties / George Washington University,WDG Architecture / Pelli Clarke Pelli Architects,Pipeline (Near Term),,,423562,,2022,OFFICE
203,Market Terminal,"300, 325, 350 Morse St., NE",5,Douglas Development Corporation / Kettler / Carr Enterprises,Gensler,Pipeline (Near Term),,,339042,,2020,OFFICE
204,Penn Quarter Place,"600 E Street, NW",2,S.C. Herman & Associates,Dep Designs,Pipeline (Near Term),,,325000,,2020,OFFICE
205,1700M,"1700 M Street, NW",2,Vornado Realty Trust,Studios Architecture,Pipeline (Near Term),,,315435,,2021,OFFICE
206,111 Massachusetts Avenue,111 Massachusetts Avenue,6,Douglas Development Corporation /,Studios Architecture,Pipeline (Near Term),,,318708,74,2023,OFFICE
207,Reunion Square (Building 4),"Shannon Place & W Street, SE",8,Four Points / Curtis Development,Hickok Cole Architects,Pipeline (Near Term),,,281242,,2021,OFFICE
208,250 M at Canal Park,"250 M St., SE",6,WC Smith,Hickok Cole Architects,Pipeline (Near Term),,,175000,125,2022,OFFICE
209,Saint Elizabeths East (Phase I),Saint Elizabeths East Campus,8,Redbrick / Gragg Cardona Partners / Flaherty & Collins / AEDC / DMPED,"Cunningham + Quill Architects, PLLC",Pipeline (Near Term),,,170000,300,2019,OFFICE
210,300 7th Street,"300 7th St., SW",6,Urban Atlantic,N/A,Pipeline (Near Term),,,143414,,,OFFICE
211,The Wharf (Phase I),Southwest Waterfront,6,Hoffman-Madison Waterfront,BBGM / Handel Architects / FOX Architects / Kohn Pedersen Fox & Associates / MTFA Architecture / SK+I Architectural Design Group / SmithGroupJJR / WDG Architecture / Perkins Eastman DC,Completed,870,R/O,,1326,Q4 17,RESIDENTIAL
212,The Modern at Fort Totten,"5180 South Dakota Avenue, NE",5,Morris & Gwendolyn Cafritz Foundation,EE&K / MV+A Architects / Shalom Baranes Associates,Completed,520,R,,135,Q3 17,RESIDENTIAL
213,The Belgard,"33 N Street, NE",6,Wood Partners / MacFarlane Partners,Hickok Cole Architects,Completed,346,R,,150,Q2 18,RESIDENTIAL
214,Agora,"800 New Jersey Avenue, SE",6,WC Smith,SK+I Architectural Design Group,Completed,334,R,,141,Q1 18,RESIDENTIAL
215,The Lydian,"400 K Street, NW",6,Quadrangle Development / The Wilkes Company,"Davis, Carter, Scott ",Completed,324,R,,138,Q2 18,RESIDENTIAL
216,Trellis House,"907 Barry Place, NW",1,RISE / Gateway Investment Partners / Howard University,Niles Bolton Associates,Completed,319,R,,70,Q3 18,RESIDENTIAL
217,Atlantic Apartment Homes,"4321 3rd Street, SE",8,WinnDevelopment,The Architectural Team,Completed,303,R,,69,Q2 18,RESIDENTIAL
218,Brookland Press,"806 Channing Place, NE",5,Douglas Development,"Eric Colbert & Associates, PC / GTM Architects / Parker Rodriguez",Completed,295,R,,55.726,Q3 17,RESIDENTIAL
219,1221 Van,"1211 Van Street, SE",6,JBG Smith,"Morris Adjmi Architects / Eric Colbert & Associates, PC",Completed,291,R,,100,Q1 18,RESIDENTIAL
220,Plaza West,"1035 4th Street, NW",6,MissionFirst Development / The Henson Development Company Inc. ,Hickok Cole Architects,Completed,233,R,,90.1,Q2 18,RESIDENTIAL
221,Riverpoint,"2100 2nd Street, SW",6,Akridge / Western Development / Redbrick LMD / Orr Partners / Jefferson Apartment Group,Antunovich Associates,Under Construction,485,R,,220,Q2 20,RESIDENTIAL
222,West Half,"1201 Half Street, SE",6,JBG Smith,"Eric Colbert & Associates, PC / ODA Architecture",Under Construction,465,R,,200,Q1 20,RESIDENTIAL
223,1250,"1250 Half Street, SE",6,Jair Lynch Real Estate Partners / MacFarlane Partners,Hord Coplan Macht Inc ,Under Construction,439,R,,265,Q4 19,RESIDENTIAL
224,The Wren,"965 Florida Avenue, NW",1,MRP Realty / Ellis Development Group / JBG Smith,Hord Coplan Macht Inc / PGN Architects PLLC,Under Construction,433,R,,120,Q4 20,RESIDENTIAL
225,1270 4th Street,"1270 4th Street, NE",5,Level 2 Development / EDENS / Trammell Crow Residential,Shalom Baranes Associates,Under Construction,432,R,,150,Q1 19,RESIDENTIAL
226,AVEC,"901 H Street, NE",6,Rappaport / WC Smith / Lustine Realty Co.,Torti Gallas and Partners,Under Construction,419,R,,200,Q3 19,RESIDENTIAL
227,Square 696 (Phase I),"88 K Street, SE",6,Tishman Speyer,Handel Arhictects,Under Construction,400,R,,,Q1 20,RESIDENTIAL
228,The Garrett,"150 Eye Street, SE",6,WC Smith,Kohn Pedersen Fox & Associates,Under Construction,375,R,,170,Q2 20,RESIDENTIAL
229,1331,"1331 Maryland Avenue, SW",6,Republic Properties Corporation,WDG Architecture / Robert A M Stern Architects,Under Construction,373,R,,220,Q3 19,RESIDENTIAL
230,Novel South Capitol,"2 I Street, SE",6,Crescent Development / RCP Development Company,SK+I Architectural Design Group,Under Construction,355,R,,,Q1 19,RESIDENTIAL
231,Eckington Yards,"1625 Eckington Place & 1500 Harry Thomas Way, NE",5,JBG Smith / The Boundary Companies,"Eric Colbert & Associates, PC",Pipeline (Near Term),695,R/O,,,2020,RESIDENTIAL
232,3900 Wisconsin Avenue,"3900 Wisconsin Avenue, NW",3,Roadside Development / Sekisui House,Shalom Baranes Associates,Pipeline (Near Term),652,R,,,2022,RESIDENTIAL
233,Bryant Street,"680 Rhode Island Ave., NE",5,MRP Realty / B&R Associates LP,SK+I Architectural Design Group,Pipeline (Near Term),490,R,,,2020,RESIDENTIAL
234,The Parks at Walter Reed (The Brooks & The Vale),"6800 Georgia Ave., NW",4,Urban Atlantic / Hines / Triden Development,Torti Gallas Urban,Pipeline (Near Term),390,R/O,,140,2020,RESIDENTIAL
235,Storey Park,"1005 1st Street, NE",6,Perseus Realty / Four Points / Greencourt Capital,HKS PC,Pipeline (Near Term),472,R,,330,2021,RESIDENTIAL
236,Waterfront Station II,"1000 4th Street, SW",6,PN Hoffman / Paramount Dev. / ER Bacon Dev. / CityPartners / Affordable Housing Dev. / DMPED,Torti Gallas and Partners,Pipeline (Near Term),456,R,,157,2022,RESIDENTIAL
237,Press House at Union District,"301 N Street, NE",6,Foulger-Pratt,Torti Gallas and Partners / AA Studio,Pipeline (Near Term),356,R,,180,2020,RESIDENTIAL
238,The Wharf (Phase II),"300 M Street, NE",6,Hoffman-Madison Waterfront,ODA Architecture / WDG Architecture / Rafael Vinoly Architects PC / Morris Adjmi Architects / Studios Architecture / Hollwich Kushner / Perkins Eastman DC / SHoP,Pipeline (Near Term),425,R,,147,2021,RESIDENTIAL
239,The Alice and Eugene Ford Senior Building,"1900 Half Street, SW",6,MidCity,Torti Gallas and Partners,Pipeline (Near Term),415,R,,,2021,RESIDENTIAL
240,Saint Elizabeths East (Phase I),Saint Elizabeths East Campus,8,Redbrick / Gragg Cardona Partners / Flaherty & Collins / AEDC / DMPED,"Cunningham + Quill Architects, PLLC",Pipeline (Near Term),312,R/O,,300,2020,RESIDENTIAL
241,Eckington Yards,"1625 Eckington Place & 1500 Harry Thomas Way, NE",5,JBG Smith / The Boundary Companies,"Eric Colbert & Associates, PC",Pipeline (Near Term),,,67264,,2020,RETAIL
242,Armature Works,"1200 3rd Street, NE",6,Trammell Crow Company / High Street Residential,Shalom Baranes / Leo A Daly,Pipeline (Near Term),,,42000,,2021,RETAIL
243,Saint Elizabeths East (Phase I),Saint Elizabeths East Campus,8,Redbrick / Gragg Cardona Partners / Flaherty & Collins / AEDC / DMPED,"Cunningham + Quill Architects, PLLC",Pipeline (Near Term),,,30000,300,2025,RETAIL
244,Storey Park,"1005 1st Street, NE",6,Perseus Realty / Four Points / Greencourt Capital,HKS PC,Pipeline (Near Term),,,27313,330,2021,RETAIL
245,Waterfront Station II,"1000 4th Street, SW",6,PN Hoffman / Paramount Dev. / ER Bacon Dev. / CityPartners / Affordable Housing Dev. / DMPED,Torti Gallas and Partners,Pipeline (Near Term),,,20807,157,2022,RETAIL
246,Press House at Union District,"301 N Street, NE",6,Foulger-Pratt,Torti Gallas and Partners / AA Studio,Pipeline (Near Term),,,27282,180,2020,RETAIL
247,The Wharf (Phase I),Southwest Waterfront,6,Hoffman-Madison Waterfront,BBGM / Handel Architects / FOX Architects / Kohn Pedersen Fox & Associates / MTFA Architecture / SK+I Architectural Design Group / SmithGroupJJR / WDG Architecture / Perkins Eastman DC,Completed,,,190000,1326,Q4 17,RETAIL
248,The Modern at Fort Totten,"5180 South Dakota Avenue, NE",5,Morris & Gwendolyn Cafritz Foundation,EE&K / MV+A Architects / Shalom Baranes Associates,Completed,,,104701,135,Q3 17,RETAIL
249,700 Penn,"700 Pennsylvania Avenue, SE",6,Stanton Development / Eastbanc / Jarvis Company / Dantes Partners / Clark Enterprises,Esocoff & Associates Architects,Completed,,,60000,226.7,Q4 17,RETAIL
250,Midtown Center,"1150 15th Street, NW",2,Carr Properties,WDG Architecture / SHoP,Completed,,,44000,350,Q2 18,RETAIL
251,Agora,"800 New Jersey Avenue, SE",6,WC Smith,SK+I Architectural Design Group,Completed,,,39000,141,Q1 18,RETAIL
252,Edison,"1240 4th St., NE",5,EDENS / LCOR / Sang Oh & Company Inc.,SK+I Architectural Design Group,Completed,,,27410,55,Q3 17,RETAIL
253,200 Massachusetts Avenue,"200 Massachusetts Avenue, NW",2,Property Group Partners,Kevin Roche John Dinkeloo & Associates LLC,Completed,,,25250,200,Q2 18,RETAIL
254,1221 Van,"1211 Van Street, SE",6,JBG Smith,"Morris Adjmi Architects / Eric Colbert & Associates, PC",Completed,,,23585,100,Q1 18,RETAIL
255,Consumer Financial Protection Bureau HQ Modernization,"1700 G Street, NW",2,General Services Administration,RTKL Associates / SOM,Completed,,,21596,139,Q4 17,RETAIL
256,The Line DC,"1770 Euclid Street, NW",1,Foxhall Partners / Friedman Capital Advisors / Sydell Group,OPX,Completed,,,20903,100,Q4 17,RETAIL
257,Skyland Town Center (Ph I - Block 2),"Alabama Avenue & Naylor Road, SE",7,Rappaport / WC Smith / Washington East Foundation,Torti Gallas and Partners,Under Construction,,,117000,175,Q3 20,RETAIL
258,1515 New York Avenue,"1515 New York Avenue, NE",5,Douglas Development Corporation,Bignell Watkins Hasser Architects,Under Construction,,,92828,27,Q4 19,RETAIL
259,655 New York Avenue,"655 New York Avenue, NW",6,Douglas Development Corporation / Brookfield Office Properties,,Under Construction,,,80551,185,Q4 18,RETAIL
260,Riverpoint,"2100 2nd Street, SW",6,Akridge / Western Development / Redbrick LMD / Orr Partners / Jefferson Apartment Group,Antunovich Associates,Under Construction,,,70441,220,Q2 20,RETAIL
261,Anthem Row,"800 K Street, NW",2,The Meridian Group,Hickok Cole Architects,Under Construction,,,70000,142,Q1 19,RETAIL
262,Beckert's Park,"415 14th Street, SE",6,Foulger-Pratt / Safeway,BKV Group,Under Construction,,,68000,138,Q1 20,RETAIL
263,Shops at Penn Hill (Phase I),"3200 Pennsylvania Avenue, SE",7,Jair Lynch Real Estate Partners,Mushinksy Voelzke Associates,Under Construction,,,65000,15,Q1 19,RETAIL
264,1250,"1250 Half Street, SE",6,Jair Lynch Real Estate Partners,Hord Coplan Macht Inc ,Under Construction,,,60000,265,Q4 19,RETAIL
265,250 Massachusetts Avenue,"250 Massachusetts Avenue, NW",2,Property Group Partners,Kevin Roche John Dinkeloo & Associates LLC,Under Construction,,,58372,275,Q3 19,RETAIL
266,AVEC,"901 H Street, NE",6,Rappaport / WC Smith / Lustine Realty Co.,Torti Gallas and Partners,Under Construction,,,53469,200,Q3 19,RETAIL
267,The Parks at Walter Reed,"6800 Georgia Ave., NW",4,Urban Atlantic / Hines / Triden Development / DMPED,Torti Gallas Urban,Pipeline (Near Term),,,170000,1000,2020-2032,RETAIL
268,3900 Wisconsin Avenue,"3900 Wisconsin Avenue, NW",3,Roadside Development / Sekisui House,Shalom Baranes Associates,Pipeline (Near Term),,,153000,,2022,RETAIL
269,The Wharf (Phase II),Southwest Waterfront,6,Hoffman-Madison Waterfront,ODA Architecture / WDG Architecture / Rafael Vinoly Architects PC / Morris Adjmi Architects / Studios Architecture / Hollwich Kushner / Perkins Eastman DC / SHoP,Pipeline (Near Term),,,119559,1200,2022,RETAIL
270,Bryant Street,"680 Rhode Island Ave., NE",5,MRP Realty / B&R Associates LP,SK+I Architectural Design Group,Pipeline (Near Term),,,490,,2020,RETAIL
130,Paul Public Charter School,"5800 8th St., NW",4,Jair Lynch Real Estate Partners,Shinberg Levinas,Completed,,,166000,22,Q4 15,EDUCATION
131,John R. Thompson Jr. Intercollegiate Athletic Center,Georgetown University,2,Georgetown University,Populous / Bowie Gridley Architects,Completed,,,144000,62,Q3 16,EDUCATION
132,KIPP DC,"1405 Brentwood Parkway, NE",5,KIPP DC,Studios Architecture,Completed,,,125000,45,Q3 15,EDUCATION
133,Lafayette Elementary School,"5701 BRd. Branch Rd., NW",4,DC Public Schools / Department of General Services,Hartman-Cox Architects / Grimm + Parker & Associates,Completed,,,120000,79,Q3 16,EDUCATION
134,Stuart-Hobson Middle School,"410 E St., NE",6,DC Public Schools / Department of General Services,Hughes Group Architects,Completed,,,116000,41,Q3 15,EDUCATION
135,River Terrace Elementary School,"420 34th St., NE",7,DC Public Schools / Department of General Services,Fanning Howey / Bryant Mitchell Architects,Completed,,,110500,36,Q3 15,EDUCATION
136,New Sibley,"5255 Loughboro Rd., NW",3,Sibley Memorial Hospital,Wilmot Sanz Inc,Under Construction,,,470000,242,Q3 16,EDUCATION
137,Duke Ellington School of the Arts,"3500 R St., NW",2,DC Public Schools / Department of General Services,cox graae + spack architects / Lance Bailey & Associates Inc,Under Construction,,,258072,177,Q3 17,EDUCATION
138,AU East Campus,"3501 Nebraska Ave., NW",3,American University,Stantec Architecture,Under Construction,,,243000,115,Q4 16,EDUCATION
139,Marie Reed Elementary School,"2201 18th St., NW",1,DC Public Schools / Department of General Services,Quinn Evans Architects,Under Construction,,,140000,62,Q3 17,EDUCATION
140,Corcoran Gallery of Art,"500 17th St., NW",2,George Washington University,Leo A Daly,Under Construction,,,100000,80,2018,EDUCATION
141,Watkins Elementary School,"420 12th St., SE",6,DC Public Schools / Department of General Services,Perkins Eastman DC,Under Construction,,,70826,39,Q3 17,EDUCATION
142,MSSD Residence Hall,"800 Florida Ave., NE",5,Gallaudet University,Gaudreau Architects / Dangermond Keane Architecture,Under Construction,,,70000,28,Q4 16,EDUCATION
143,The Conway Center,"4430 Benning Rd., NE",7,SOME,Wiencek + Associates,Under Construction,,,37659,90,Q4 17,EDUCATION
144,Procter Hall,"3609 Woodley Rd., NW",3,National Cathedral School,Hartman-Cox Architects,Under Construction,,,28000,13,Q3 16,EDUCATION
145,THE ARC (Ph III),"18th St. & Mississippi Ave., SE",8,WC Smith / Building Bridges Across the River,Sanchez Palmer,Under Construction,,,13725,34,Q4 17,EDUCATION
146,McMillan Sand Filtration Site,"North Capitol St. & Michigan Ave., NW",5,Jair Lynch Real Estate Partners / Trammell Crow Company / EYA / DMPED,Perkins Eastman DC / MV+A Architects / Shalom Baranes Associates,Pipeline (Near Term),,,1000000,720,2019,EDUCATION
147,Georgetown University Hospital Pavilion,"3800 Reservoir Rd., NW",2,MedStar Georgetown University Hospital / Trammell Crow,HKS PC / Shalom Baranes Associates,Pipeline (Near Term),,,477000,567,2020,EDUCATION
148,Bancroft Elementary School,"1755 Newton St., NW",1,DC Public Schools / Department of General Services,Ayers Saint Gross,Pipeline (Near Term),,,146000,55,2018,EDUCATION
149,The Parks at Walter Reed,"6800 Georgia Ave., NW",4,Hines / Urban Atlantic / Triden Development Group / DMPED,Torti Gallas and Partners,Pipeline (Near Term),,,145000,1000,,EDUCATION
150,St. Paul's College Seminary & Residence,"3025 4th St., NE",5,Elm Street Development / Boundary Companies,N/A,Pipeline (Near Term),,,102000,,,EDUCATION
151,The Wharf (Phase I),Southwest Waterfront,6,Hoffman-Madison Waterfront,BBGM / Handel Architects / FOX Architects / Kohn Pedersen Fox & Associates / MTFA Architecture / SK+I Architectural Design Group / SmithGroupJJR / WDG Architecture / Perkins Eastman DC,Completed,690,,630000,1326,Q4 17,HOSPITALITY
152,Museum of the Bible,"300 D Street, SW",6,Museum of the Bible,SmithGroupJJR,Completed,,,430000,504,Q4 17,HOSPITALITY
153,D.C. United Stadium,"100 Potomac Avenue, SW",6,D.C. United / DC Government,Populous / Marshall | Moya Design,Completed,,,421000,400,Q3 18,HOSPITALITY
